North America,2021-02-02,5,2,1508258
Oceania,2021-02-02,5,2,0
Asia,2021-02-03,5,2,2063771
Europe,2021-02-03,5,2,1192151
North America,2021-02-03,5,2,1538006
Africa,2021-02-03,5,2,54889
Oceania,2021-02-03,5,2,254
South America,2021-02-03,5,2,250896
Africa,2021-02-04,5,2,53866
Asia,2021-02-04,5,2,2225743
Europe,2021-02-04,5,2,1219398
North America,2021-02-04,5,2,1593303
Oceania,2021-02-04,5,2,254
South America,2021-02-04,5,2,286540
North America,2021-02-05,5,2,1659199
Africa,2021-02-05,5,2,55728
Asia,2021-02-05,5,2,2362991
Europe,2021-02-05,5,2,1225791
Oceania,2021-02-05,5,2,254
South America,2021-02-05,5,2,305642
Africa,2021-02-06,5,2,57572
Asia,2021-02-06,5,2,2551055
Europe,2021-02-06,5,2,1213259
North America,2021-02-06,5,2,1701046
Oceania,2021-02-06,5,2,254
South America,2021-02-06,5,2,312177
Africa,2021-02-07,5,2,58592
Asia,2021-02-07,5,2,2706071
Europe,2021-02-07,5,2,1197477
North America,2021-02-07,5,2,1700457
Oceania,2021-02-07,5,2,254
South America,2021-02-07,5,2,318740
Asia,2021-02-08,6,2,2609922
Africa,2021-02-08,6,2,54172
Europe,2021-02-08,6,2,1195289
North America,2021-02-08,6,2,1730125
Oceania,2021-02-08,6,2,254
South America,2021-02-08,6,2,353751
North America,2021-02-09,6,2,1772478
Africa,2021-02-09,6,2,55507
Asia,2021-02-09,6,2,2521216
Europe,2021-02-09,6,2,1195478
Oceania,2021-02-09,6,2,254
South America,2021-02-09,6,2,401791
Africa,2021-02-10,6,2,67315
Asia,2021-02-10,6,2,2315717
Europe,2021-02-10,6,2,1196642
North America,2021-02-10,6,2,1797102
Oceania,2021-02-10,6,2,254
South America,2021-02-10,6,2,425884
North America,2021-02-11,6,2,1805881
Africa,2021-02-11,6,2,77164
Asia,2021-02-11,6,2,2182335
Europe,2021-02-11,6,2,1218550
Oceania,2021-02-11,6,2,292
South America,2021-02-11,6,2,445947
Africa,2021-02-12,6,2,105973
Asia,2021-02-12,6,2,2130677
Europe,2021-02-12,6,2,1252729
North America,2021-02-12,6,2,1839967
Oceania,2021-02-12,6,2,332
South America,2021-02-12,6,2,473338
Africa,2021-02-13,6,2,137700
Asia,2021-02-13,6,2,2009122
Europe,2021-02-13,6,2,1266618
North America,2021-02-13,6,2,1865878
Oceania,2021-02-13,6,2,370
South America,2021-02-13,6,2,467322
Africa,2021-02-14,6,2,154280
Asia,2021-02-14,6,2,1942141
Europe,2021-02-14,6,2,1279127
North America,2021-02-14,6,2,1888692
Oceania,2021-02-14,6,2,409
South America,2021-02-14,6,2,461041
Africa,2021-02-15,7,2,170859
Asia,2021-02-15,7,2,1845397
Europe,2021-02-15,7,2,1276471
North America,2021-02-15,7,2,1831847
Oceania,2021-02-15,7,2,447
South America,2021-02-15,7,2,477531
Africa,2021-02-16,7,2,193752
Asia,2021-02-16,7,2,1796229
Europe,2021-02-16,7,2,1278813
North America,2021-02-16,7,2,1807527
Oceania,2021-02-16,7,2,486
South America,2021-02-16,7,2,468121
Africa,2021-02-17,7,2,201116
Asia,2021-02-17,7,2,1852486
Europe,2021-02-17,7,2,1300404
North America,2021-02-17,7,2,1779411
Oceania,2021-02-17,7,2,549
South America,2021-02-17,7,2,455235
Africa,2021-02-18,7,2,207415
Asia,2021-02-18,7,2,1978890
Europe,2021-02-18,7,2,1310887
North America,2021-02-18,7,2,1739723
Oceania,2021-02-18,7,2,555
South America,2021-02-18,7,2,453899
North America,2021-02-19,7,2,1690375
